ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SH,20200220,2981.8802,3031.3706,2968.4451,3030.1542,2975.4019,54.7523,1.8402,345732881.0,413761364.1
000001.SH,20200221,3022.2455,3058.898,3020.141,3039.6692,3030.1542,9.515,0.314,364557276.0,445062076.7
000001.SH,20200224,3027.8925,3042.1821,3007.3557,3031.2333,3039.6692,-8.4359,-0.2775,370430044.0,451601363.1
000001.SH,20200225,2982.0696,3016.9458,2943.7168,3013.0501,3031.2333,-18.1832,-0.5999,441622762.0,513128644.6
000001.SH,20200226,2978.4195,3028.7788,2974.9423,2987.9287,3013.0501,-25.1214,-0.8338,469049552.0,495341447.3
000001.SH,20200227,2992.4919,3009.4575,2980.4774,2991.3288,2987.9287,3.4001,0.1138,350523658.0,395955641.5
000001.SH,20200228,2924.6407,2948.1261,2878.5443,2880.3038,2991.3288,-111.025,-3.7116,401216914.0,432657775.0
000001.SH,20200302,2899.31,2982.5068,2899.31,2970.9312,2880.3038,90.6274,3.1465,367333369.0,397244201.2
000001.SH,20200303,3006.8888,3026.842,2976.623,2992.8968,2970.9312,21.9656,0.7394,410108047.0,447053681.5
000001.SH,20200304,2981.806,3012.0035,2974.3583,3011.6657,2992.8968,18.7689,0.6271,353338278.0,389893917.5
000001.SH,20200305,3036.1545,3074.2571,3022.9262,3071.6771,3011.6657,60.0114,1.9926,445425806.0,482770471.4
000001.SH,20200306,3039.9395,3052.4439,3029.4632,3034.5113,3071.6771,-37.1658,-1.21,362061533.0,377388542.7
000001.SH,20200309,2987.1805,2989.2051,2940.7138,2943.2907,3034.5113,-91.2206,-3.0061,414560736.0,438143854.6
000001.SH,20200310,2918.9347,3000.2963,2904.7989,2996.7618,2943.2907,53.4711,1.8167,393296648.0,425017184.8
000001.SH,20200311,3001.7616,3010.0286,2968.5174,2968.5174,2996.7618,-28.2444,-0.9425,352470970.0,378766619.0
000001.SH,20200312,2936.0163,2944.4651,2906.2838,2923.4856,2968.5174,-45.0318,-1.517,307778457.0,328209202.4
000001.SH,20200313,2804.2322,2910.8812,2799.9841,2887.4265,2923.4856,-36.0591,-1.2334,366450436.0,393019665.2
000001.SH,20200316,2897.3009,2898.0349,2784.6616,2789.2537,2887.4265,-98.1728,-3.4,351878665.0,375627000.8
000001.SH,20200317,2796.284,2826.9068,2715.2213,2779.6407,2789.2537,-9.613,-0.3446,306149677.0,323012822.8
000001.SH,20200318,2792.3221,2815.8737,2728.7563,2728.7563,2779.6407,-50.8844,-1.8306,291159852.0,318611391.6
000001.SH,20200319,2719.4063,2736.82,2646.8048,2702.1296,2728.7563,-26.6267,-0.9758,302302747.0,330518008.5
000001.SH,20200320,2727.0186,2751.8964,2702.4933,2745.6182,2702.1296,43.4886,1.6094,252019507.0,281583369.7
000001.SH,20200323,2677.591,2703.3295,2656.5008,2660.1674,2745.6182,-85.4508,-3.1123,249820250.0,268423242.0
000001.SH,20200324,2703.0193,2723.4066,2667.1333,2722.4381,2660.1673,62.2708,2.3409,257021930.0,278999306.6
000001.SH,20200325,2775.3032,2788.6354,2757.8016,2781.5913,2722.4381,59.1532,2.1728,273144466.0,293191204.4
000001.SH,20200326,2761.8961,2788.5038,2753.4282,2764.9109,2781.5913,-16.6804,-0.5997,234084022.0,248279785.0
000001.SH,20200327,2792.9843,2805.5479,2771.7563,2772.2033,2764.9109,7.2924,0.2637,240764066.0,253630725.9
000001.SH,20200330,2739.7191,2759.0989,2723.0543,2747.2138,2772.2033,-24.9895,-0.9014,239706604.0,250687144.2
000001.SH,20200331,2767.3072,2771.1683,2743.1154,2750.2962,2747.2138,3.0824,0.1122,218598674.0,224271061.6
000001.SH,20200401,2743.5409,2773.3641,2731.0794,2734.5215,2750.2962,-15.7747,-0.5736,217253427.0,225624646.6
000001.SH,20200402,2720.2284,2780.6379,2719.9043,2780.6379,2734.5215,46.1164,1.6865,217864600.0,233111575.7
000001.SH,20200403,2773.5764,2780.5868,2754.0731,2763.9874,2780.6379,-16.6505,-0.5988,200837404.0,214062212.0
000001.SH,20200407,2806.9676,2823.2767,2801.8386,2820.7634,2763.9874,56.776,2.0541,270198186.0,286627794.3
000001.SH,20200408,2805.9166,2823.2139,2800.2963,2815.3686,2820.7634,-5.3948,-0.1913,243515305.0,253159668.1
000001.SH,20200409,2825.8393,2832.395,2820.4326,2825.9036,2815.3686,10.535,0.3742,238184843.0,247392988.0
000001.SH,20200410,2827.1873,2833.0148,2789.9756,2796.6312,2825.9036,-29.2724,-1.0359,233454768.0,246376307.2
000001.SH,20200413,2784.5979,2792.8906,2774.0808,2783.0476,2796.6312,-13.5836,-0.4857,177124554.0,184120284.1
000001.SH,20200414,2794.801,2827.2981,2789.4279,2827.283,2783.0476,44.2354,1.5895,202696569.0,223605697.3
000001.SH,20200415,2826.6618,2829.7503,2808.7039,2811.1741,2827.283,-16.1089,-0.5698,205621146.0,231631632.2
000001.SH,20200416,2798.4295,2823.3382,2796.8388,2819.935,2811.1741,8.7609,0.3116,203003773.0,222432600.9
000001.SH,20200417,2835.5581,2854.9599,2830.0217,2838.4945,2819.935,18.5595,0.6582,245736750.0,280025229.1
000001.SH,20200420,2840.4085,2852.99,2833.2615,2852.5528,2838.4945,14.0583,0.4953,211847078.0,233759313.2
000001.SH,20200421,2842.2372,2842.2372,2808.0214,2827.0133,2852.5528,-25.5395,-0.8953,233235870.0,248688585.7
000001.SH,20200422,2814.0661,2843.9804,2808.4819,2843.9804,2827.0133,16.9671,0.6002,217320000.0,232796777.8
000001.SH,20200423,2850.5104,2853.6357,2835.8961,2838.4994,2843.9804,-5.481,-0.1927,248779037.0,262662040.5
000001.SH,20200424,2834.9387,2834.9387,2802.4989,2808.5293,2838.4994,-29.9701,-1.0558,235185076.0,244122291.5
000001.SH,20200427,2812.2422,2832.6662,2802.9579,2815.4947,2808.5293,6.9654,0.248,210130981.0,225293706.3
000001.SH,20200428,2819.9914,2821.745,2758.2459,2810.0243,2815.4947,-5.4704,-0.1943,253872745.0,270534752.6
000001.SH,20200429,2801.383,2831.7642,2800.7379,2822.4424,2810.0243,12.4181,0.4419,202061807.0,222720221.7
000001.SH,20200430,2832.3843,2865.59,2832.3843,2860.0822,2822.4424,37.6398,1.3336,242455278.0,277440934.0
000001.SH,20200506,2831.6326,2879.2634,2830.6536,2878.1402,2860.0822,18.058,0.6314,249826616.0,303890031.0
000001.SH,20200507,2876.4727,2882.0222,2864.5813,2871.5232,2878.1402,-6.617,-0.2299,226736957.0,268607485.3
000001.SH,20200508,2882.7078,2903.7967,2879.2034,2895.3444,2871.5232,23.8212,0.8296,226822075.0,276562717.0
000001.SH,20200511,2901.5739,2914.2838,2884.3806,2894.802,2895.3444,-0.5424,-0.0187,225120410.0,271930641.5
000001.SH,20200512,2894.6171,2897.9018,2871.23,2891.5564,2894.802,-3.2456,-0.1121,197082985.0,238476218.8
000001.SH,20200513,2882.9552,2900.2587,2875.5354,2898.0495,2891.5564,6.4931,0.2246,185061310.0,223866906.9
000001.SH,20200514,2887.0577,2887.0577,2869.1832,2870.3422,2898.0495,-27.7073,-0.9561,197776202.0,237336974.7
000001.SH,20200515,2880.7067,2884.2199,2863.3698,2868.4587,2870.3422,-1.8835,-0.0656,188983592.0,246878191.1
000001.SH,20200518,2872.5244,2889.9795,2862.2709,2875.4176,2868.4587,6.9589,0.2426,226022882.0,289089595.5
000001.SH,20200519,2897.6867,2900.2187,2887.5768,2898.576,2875.4176,23.1584,0.8054,197222405.0,256277803.1
000001.SH,20200520,2896.4657,2896.4657,2876.1766,2883.7378,2898.576,-14.8382,-0.5119,210519985.0,269176553.6
000001.SH,20200521,2890.7213,2891.5177,2864.2073,2867.9237,2883.7378,-15.8141,-0.5484,203532038.0,250569937.6
000001.SH,20200522,2863.0462,2863.0462,2808.0177,2813.7654,2867.9237,-54.1583,-1.8884,209063712.0,245229603.7
000001.SH,20200525,2816.241,2821.4978,2802.4653,2817.9697,2813.7654,4.2043,0.1494,172885557.0,202115352.6
000001.SH,20200526,2827.8967,2848.3371,2825.901,2846.5473,2817.9697,28.5776,1.0141,174562369.0,207427833.7
000001.SH,20200527,2847.3198,2848.9965,2831.9281,2836.8036,2846.5473,-9.7437,-0.3423,198149343.0,227934395.7
000001.SH,20200528,2838.2072,2861.9241,2820.1455,2846.2217,2836.8036,9.4181,0.332,207546019.0,239234260.6
000001.SH,20200529,2835.584,2855.3756,2829.6271,2852.3512,2846.2217,6.1295,0.2154,206792804.0,233798996.6
000001.SH,20200601,2871.9641,2917.1508,2871.9641,2915.4311,2852.3512,63.0799,2.2115,260196050.0,307416215.1
000001.SH,20200602,2916.3168,2926.3588,2909.1277,2921.398,2915.4311,5.9669,0.2047,256108049.0,294402745.9
000001.SH,20200603,2930.3906,2942.7597,2922.6612,2923.3711,2921.398,1.9731,0.0675,255663980.0,300447817.0
000001.SH,20200604,2931.8376,2932.9677,2910.7516,2919.2506,2923.3711,-4.1205,-0.141,226605873.0,254345984.5
000001.SH,20200605,2923.1891,2930.7993,2909.1181,2930.7993,2919.2506,11.5487,0.3956,217360673.0,253141142.5
000001.SH,20200608,2941.9816,2950.0656,2934.2103,2937.7712,2930.7993,6.9719,0.2379,231124360.0,274611815.6
000001.SH,20200609,2939.5351,2957.1186,2932.9385,2956.1116,2937.7712,18.3404,0.6243,209048585.0,251414696.2
000001.SH,20200610,2951.2784,2951.3298,2934.8428,2943.7525,2956.1116,-12.3591,-0.4181,207925969.0,243968496.5
000001.SH,20200611,2939.7914,2952.651,2912.1932,2920.8968,2943.7525,-22.8557,-0.7764,233722947.0,289023256.1
000001.SH,20200612,2876.8029,2930.255,2872.6165,2919.7408,2920.8968,-1.156,-0.0396,236008642.0,274321726.2
000001.SH,20200615,2908.2767,2922.5364,2890.0306,2890.0306,2919.7408,-29.7102,-1.0176,243205046.0,293361556.8
000001.SH,20200616,2912.8251,2931.7791,2909.1341,2931.7493,2890.0306,41.7187,1.4435,223313065.0,270948558.5
000001.SH,20200617,2932.6708,2936.6162,2919.0353,2935.873,2931.7493,4.1237,0.1407,234654391.0,278007110.7
000001.SH,20200618,2929.8799,2942.8983,2920.1054,2939.3151,2935.873,3.4421,0.1172,258691377.0,289367727.8
000001.SH,20200619,2938.7887,2973.3164,2935.8239,2967.6341,2939.3151,28.319,0.9635,264313961.0,319089106.6
000001.SH,20200622,2966.9008,2983.4382,2959.035,2965.2717,2967.6341,-2.3624,-0.0796,267883834.0,346028748.4
000001.SH,20200623,2960.8875,2972.4025,2949.8469,2970.6203,2965.2717,5.3486,0.1804,225212208.0,305378770.5
000001.SH,20200624,2972.9827,2982.9425,2971.2235,2979.5505,2970.6203,8.9302,0.3006,213200732.0,297008784.1
000001.SH,20200629,2973.0757,2977.9122,2951.7702,2961.5164,2979.5505,-18.0341,-0.6053,220622729.0,293886016.0
000001.SH,20200630,2965.1054,2990.8253,2965.1054,2984.6741,2961.5164,23.1577,0.782,214957214.0,297312328.4
000001.SH,20200701,2991.1813,3026.1862,2984.9841,3025.981,2984.6741,41.3069,1.384,273313140.0,369883802.3
000001.SH,20200702,3023.7189,3092.4432,3021.6736,3090.5693,3025.981,64.5883,2.1345,391127996.0,478216482.3
000001.SH,20200703,3103.9952,3152.8126,3103.9952,3152.8126,3090.5693,62.2433,2.014,458793851.0,535489334.7
000001.SH,20200706,3187.8393,3337.2723,3187.8393,3332.8807,3152.8126,180.0681,5.7113,643878906.0,724153675.7
000001.SH,20200707,3380.9536,3407.0811,3336.2416,3345.3369,3332.8807,12.4562,0.3737,657840159.0,793638372.4
000001.SH,20200708,3337.5518,3421.5312,3327.7062,3403.4401,3345.3369,58.1032,1.7368,587081685.0,696807634.5
000001.SH,20200709,3403.4832,3456.9721,3393.6379,3450.5935,3403.4401,47.1534,1.3855,620001823.0,751406830.4
000001.SH,20200710,3418.9347,3433.1085,3372.5066,3383.3222,3450.5935,-67.2713,-1.9496,556120011.0,703197550.4
000001.SH,20200713,3379.3867,3458.7914,3369.0378,3443.2863,3383.3222,59.9641,1.7723,558006875.0,717397053.1
000001.SH,20200714,3435.0237,3451.2224,3366.0828,3414.6186,3443.2863,-28.6677,-0.8326,543211492.0,707327005.2
000001.SH,20200715,3422.0778,3432.4506,3345.7488,3361.3044,3414.6186,-53.3142,-1.5614,492030542.0,674727409.8
000001.SH,20200716,3356.359,3373.5317,3209.7272,3210.0986,3361.3044,-151.2058,-4.4984,490613123.0,679468340.6
000001.SH,20200717,3214.4022,3252.7786,3181.2745,3214.1287,3210.0986,4.0301,0.1255,359652413.0,486536118.3
000001.SH,20200720,3243.9105,3314.149,3220.684,3314.149,3214.1287,100.0203,3.1119,418555306.0,544045656.2
000001.SH,20200721,3330.5467,3336.6791,3300.5719,3320.8947,3314.149,6.7457,0.2035,359252029.0,488862180.4
000001.SH,20200722,3315.1816,3381.9757,3311.7862,3333.1635,3320.8947,12.2688,0.3694,393335335.0,540577040.6
000001.SH,20200723,3306.1489,3336.3002,3257.8269,3325.1102,3333.1635,-8.0533,-0.2416,407042499.0,546887089.7
000001.SH,20200724,3310.6449,3319.1268,3184.9645,3196.7684,3325.1102,-128.3418,-3.8598,427054026.0,584311865.0
000001.SH,20200727,3210.3863,3221.9846,3174.6583,3205.2268,3196.7684,8.4584,0.2646,299319021.0,402231919.3
000001.SH,20200728,3226.1329,3245.2967,3208.4939,3227.9604,3205.2268,22.7336,0.7093,289377861.0,389873696.2
000001.SH,20200729,3221.9883,3294.5521,3209.9902,3294.5521,3227.9604,66.5917,2.063,324924062.0,453094399.5
000001.SH,20200730,3299.5718,3312.4508,3282.1617,3286.822,3294.5521,-7.7301,-0.2346,340704121.0,476974005.6
000001.SH,20200731,3280.7959,3333.7859,3261.6135,3310.0065,3286.822,23.1845,0.7054,353758979.0,495778040.7
000001.SH,20200803,3332.1826,3368.1028,3327.6773,3367.9658,3310.0065,57.9593,1.751,407460867.0,572430759.8
000001.SH,20200804,3376.4402,3391.0743,3352.5017,3371.6875,3367.9658,3.7217,0.1105,442328551.0,604942141.5
000001.SH,20200805,3363.3324,3383.6365,3333.877,3377.5648,3371.6875,5.8773,0.1743,385823027.0,526515054.7
000001.SH,20200806,3380.7621,3392.7048,3334.3341,3386.4631,3377.5648,8.8983,0.2635,415302510.0,570488248.1
000001.SH,20200807,3370.5878,3374.133,3307.7127,3354.0352,3386.4631,-32.4279,-0.9576,403929633.0,561435649.6
000001.SH,20200810,3341.5276,3399.9323,3335.0427,3379.2524,3354.0352,25.2172,0.7518,381379630.0,527083944.6
000001.SH,20200811,3379.4874,3409.0589,3336.0945,3340.29,3379.2524,-38.9624,-1.153,400452706.0,514020764.1
000001.SH,20200812,3327.4929,3335.729,3263.2653,3319.2656,3340.29,-21.0244,-0.6294,378328959.0,480731246.1
000001.SH,20200813,3328.1754,3338.1518,3309.4629,3320.7261,3319.2656,1.4605,0.044,324291278.0,387162288.6
000001.SH,20200814,3315.6687,3362.0267,3302.7357,3360.0988,3320.7261,39.3727,1.1857,305998376.0,367467421.7
000001.SH,20200817,3373.9018,3450.8987,3369.3742,3438.801,3360.0988,78.7022,2.3423,434598260.0,537425075.1
000001.SH,20200818,3441.9337,3456.7206,3432.6402,3451.0894,3438.801,12.2884,0.3573,380729275.0,493052155.3
000001.SH,20200819,3444.5646,3454.4613,3406.1642,3408.1288,3451.0894,-42.9606,-1.2448,405722214.0,498262158.3
000001.SH,20200820,3385.9645,3394.557,3352.7767,3363.8988,3408.1288,-44.23,-1.2978,335600982.0,401815550.1
000001.SH,20200821,3380.2269,3393.9175,3358.0005,3380.6825,3363.8988,16.7837,0.4989,287488340.0,361281752.7
000001.SH,20200824,3391.1132,3396.5663,3368.0258,3385.6383,3380.6825,4.9558,0.1466,266227841.0,345683380.0
000001.SH,20200825,3392.8797,3408.8697,3364.1602,3373.5781,3385.6383,-12.0602,-0.3562,277113421.0,355997790.8
000001.SH,20200826,3371.8083,3382.6032,3320.1355,3329.7388,3373.5781,-43.8393,-1.2995,294451036.0,381928906.6
000001.SH,20200827,3333.4909,3351.8324,3312.9859,3350.1128,3329.7388,20.374,0.6119,237099353.0,317153391.5
000001.SH,20200828,3346.2893,3405.8768,3339.6494,3403.8066,3350.1128,53.6938,1.6027,271325549.0,379367046.4
000001.SH,20200831,3416.5497,3442.7363,3395.4675,3395.6775,3403.8066,-8.1291,-0.2388,323473890.0,436930125.4
000001.SH,20200901,3389.7424,3410.6068,3381.7108,3410.6068,3395.6775,14.9293,0.4397,246999249.0,326850955.3
000001.SH,20200902,3420.4693,3421.3959,3377.2111,3404.8017,3410.6068,-5.8051,-0.1702,261546319.0,345638982.3
000001.SH,20200903,3404.0319,3425.6294,3374.2634,3384.9806,3404.8017,-19.8211,-0.5822,255346279.0,350706563.9
000001.SH,20200904,3336.4076,3360.1061,3328.5518,3355.3666,3384.9806,-29.614,-0.8749,221636550.0,308179657.6
000001.SH,20200907,3349.9184,3368.2446,3285.6326,3292.5907,3355.3666,-62.7759,-1.8709,260616567.0,357726463.9
000001.SH,20200908,3301.2173,3324.3929,3276.4431,3316.417,3292.5907,23.8263,0.7236,271066278.0,320229901.3
000001.SH,20200909,3280.9974,3289.6148,3238.5606,3254.6279,3316.417,-61.7891,-1.8631,351509747.0,341054534.1
000001.SH,20200910,3282.232,3285.4731,3227.6435,3234.8234,3254.6279,-19.8045,-0.6085,312472804.0,309676743.6
000001.SH,20200911,3225.7836,3262.4976,3220.5363,3260.3461,3234.8234,25.5227,0.789,221698830.0,254844994.3
000001.SH,20200914,3275.9181,3283.5325,3261.1479,3278.8138,3260.3461,18.4677,0.5664,213924137.0,269219919.7
000001.SH,20200915,3277.1284,3297.6904,3263.7522,3295.6795,3278.8138,16.8657,0.5144,197684400.0,251763868.5
000001.SH,20200916,3293.1678,3302.4556,3271.075,3283.9244,3295.6795,-11.7551,-0.3567,200443364.0,242270893.5
000001.SH,20200917,3277.3238,3290.4094,3248.499,3270.435,3283.9244,-13.4894,-0.4108,202931972.0,279311053.4
000001.SH,20200918,3270.911,3338.3243,3268.526,3338.0897,3270.435,67.6547,2.0687,256260788.0,337025892.9
000001.SH,20200921,3348.8988,3350.5893,3313.0714,3316.9351,3338.0897,-21.1546,-0.6337,216503093.0,287691308.1
000001.SH,20200922,3290.6656,3320.2278,3265.7025,3274.3015,3316.9351,-42.6336,-1.2853,214015065.0,269113293.7
000001.SH,20200923,3278.8358,3289.7624,3264.8907,3279.7105,3274.3015,5.409,0.1652,169178068.0,240742428.8
000001.SH,20200924,3262.879,3265.3451,3221.2365,3223.1764,3279.7105,-56.5341,-1.7238,206736011.0,258259919.7
000001.SH,20200925,3234.3739,3239.4662,3208.0349,3219.4179,3223.1764,-3.7585,-0.1166,164822419.0,220674477.0
000001.SH,20200928,3224.9769,3238.1825,3210.8925,3217.5346,3219.4179,-1.8833,-0.0585,155982783.0,209672387.6
000001.SH,20200929,3231.8551,3242.7937,3219.7902,3224.3593,3217.5346,6.8247,0.2121,151349870.0,207307813.8
000001.SH,20200930,3232.7104,3244.9134,3202.3435,3218.0521,3224.3593,-6.3072,-0.1956,153504457.0,205762857.3
000001.SH,20201009,3262.6105,3280.5124,3260.1873,3272.0762,3218.0521,54.0241,1.6788,188325648.0,264171043.8
000001.SH,20201012,3287.3281,3359.1526,3286.1111,3358.4652,3272.0762,86.389,2.6402,259622408.0,355700113.7
000001.SH,20201013,3353.1213,3361.8315,3334.4989,3359.7499,3358.4652,1.2847,0.0383,204926103.0,288505837.5
000001.SH,20201014,3353.6247,3353.6247,3332.9635,3340.7782,3359.7499,-18.9717,-0.5647,198659382.0,281159984.7
000001.SH,20201015,3342.9222,3354.5784,3330.0014,3332.1832,3340.7782,-8.595,-0.2573,191031282.0,263848674.0
000001.SH,20201016,3334.4568,3348.9543,3319.11,3336.3582,3332.1832,4.175,0.1253,194295421.0,253448029.5
000001.SH,20201019,3351.0961,3371.0862,3307.8407,3312.6671,3336.3582,-23.6911,-0.7101,212303540.0,283882790.2
000001.SH,20201020,3307.1498,3328.1029,3293.7662,3328.1029,3312.6671,15.4358,0.466,165084762.0,227823367.1
000001.SH,20201021,3332.147,3332.147,3304.1693,3325.0247,3328.1029,-3.0782,-0.0925,177632115.0,246848139.0
000001.SH,20201022,3315.8206,3320.8787,3281.3662,3312.5005,3325.0247,-12.5242,-0.3767,165949987.0,236428248.9
000001.SH,20201023,3308.1581,3326.0489,3276.6197,3277.9972,3312.5005,-34.5033,-1.0416,174208982.0,249912883.3
000001.SH,20201026,3258.7028,3264.4464,3226.6018,3251.1188,3277.9972,-26.8784,-0.82,167731795.0,235462468.4
000001.SH,20201027,3240.7395,3258.3369,3235.5443,3254.3157,3251.1188,3.1969,0.0983,149115566.0,217487420.9
000001.SH,20201028,3256.2225,3275.8714,3238.382,3269.238,3254.3157,14.9223,0.4585,173181965.0,256213458.2
000001.SH,20201029,3235.7647,3289.7655,3231.1243,3272.7274,3269.238,3.4894,0.1067,184703589.0,278605665.2
000001.SH,20201030,3278.6312,3279.8563,3219.4216,3224.5325,3272.7274,-48.1949,-1.4726,230188803.0,328917241.6
000001.SH,20201102,3228.715,3242.8041,3209.9094,3225.1196,3224.5325,0.5871,0.0182,226779137.0,325321869.1
000001.SH,20201103,3239.8063,3278.3806,3237.8539,3271.0744,3225.1196,45.9548,1.4249,215297864.0,303730147.8
000001.SH,20201104,3273.4326,3286.6212,3254.1113,3277.4402,3271.0744,6.3658,0.1946,188514128.0,270723846.5
000001.SH,20201105,3305.5798,3320.408,3291.6,3320.1333,3277.4402,42.6931,1.3026,226801462.0,316292710.0
000001.SH,20201106,3326.4645,3326.4645,3292.1507,3312.159,3320.1333,-7.9743,-0.2402,234864132.0,325485056.7
000001.SH,20201109,3329.4285,3380.8235,3329.4285,3373.7337,3312.159,61.5747,1.8591,310219771.0,429948921.9
000001.SH,20201110,3387.6219,3387.6219,3346.1715,3360.1485,3373.7337,-13.5852,-0.4027,278701113.0,390008391.7
000001.SH,20201111,3354.0247,3365.836,3339.0407,3342.2025,3360.1485,-17.946,-0.5341,271204653.0,355802065.5
000001.SH,20201112,3344.4562,3350.2848,3329.485,3338.6788,3342.2025,-3.5237,-0.1054,216501309.0,286927436.4
000001.SH,20201113,3327.2293,3327.2293,3291.6425,3310.1046,3338.6788,-28.5742,-0.8559,227898364.0,301527966.9
000001.SH,20201116,3325.6209,3346.9692,3313.6469,3346.9692,3310.1046,36.8646,1.1137,279593761.0,333750600.1
000001.SH,20201117,3347.1513,3347.6979,3323.9506,3339.895,3346.9692,-7.0742,-0.2114,283632479.0,353623369.9
000001.SH,20201118,3337.3315,3358.8938,3333.9916,3347.3034,3339.895,7.4084,0.2218,287531259.0,358745367.4
000001.SH,20201119,3339.0864,3367.3328,3330.4496,3363.0876,3347.3034,15.7842,0.4715,253262992.0,319520194.5
000001.SH,20201120,3359.5966,3380.1489,3356.3086,3377.7267,3363.0876,14.6391,0.4353,261271219.0,312659789.1
000001.SH,20201123,3384.1039,3431.6529,3377.9862,3414.4899,3377.7267,36.7632,1.0884,373872047.0,431504375.6
000001.SH,20201124,3407.4087,3413.9263,3396.2436,3402.8225,3414.4899,-11.6674,-0.3417,300994144.0,359505804.9
000001.SH,20201125,3417.515,3423.4853,3362.3274,3362.3274,3402.8225,-40.4951,-1.19,322110207.0,383477785.2
000001.SH,20201126,3360.0609,3371.4537,3344.2822,3369.7334,3362.3274,7.406,0.2203,255886822.0,317308635.0
000001.SH,20201127,3373.8434,3408.3071,3364.4919,3408.3071,3369.7334,38.5737,1.1447,280649894.0,326069547.2
000001.SH,20201130,3418.1583,3456.7365,3391.7551,3391.7551,3408.3071,-16.552,-0.4856,384989968.0,454500571.8
000001.SH,20201201,3388.9867,3457.6354,3386.9113,3451.9384,3391.7551,60.1833,1.7744,316188980.0,385250751.3
000001.SH,20201202,3453.5181,3465.7288,3435.8712,3449.3805,3451.9384,-2.5579,-0.0741,312811114.0,383340845.1
000001.SH,20201203,3448.5403,3452.1612,3428.8044,3442.1359,3449.3805,-7.2446,-0.21,298459930.0,352422286.6
